"JHN.BRAIN.STRYKEER.BRAIN_STRYKER.t1_AX","COORD"
739,10158090
840,10158091
562,10158092
526,10158093
546,10223626
564,10223627
517,10223628
518,10223629
526,10289162
520,10289163
512,10289164
505,10289165
537,10354698
503,10354699
485,10354700
488,10354701
517,10420234
482,10420235
472,10420236
482,10485770
470,10485771
473,10485772
429,10551307
405,10551308
450,10616843
445,7471113
433,7471114
431,7536649
435,7536650
482,7602185
479,7602186
312,7602187
562,7667721
555,7667722
362,7667723
596,7733257
606,7733258
481,7733259
609,7798793
727,7798794
539,7798795
586,7864329
773,7864330
559,7864331
568,7929865
691,7929866
620,7929867
646,7929868
515,7995401
589,7995402
665,7995403
768,7995404
487,8060937
577,8060938
725,8060939
1010,8060940
449,8126473
612,8126474
740,8126475
1099,8126476
532,8192009
600,8192010
729,8192011
1127,8192012
785,8257545
599,8257546
696,8257547
1152,8257548
757,8323081
612,8323082
709,8323083
1118,8323084
661,8388617
663,8388618
763,8388619
1116,8388620
501,8388621
605,8454153
611,8454154
740,8454155
1110,8454156
515,8454157
590,8519689
540,8519690
708,8519691
1120,8519692
538,8519693
626,8585225
572,8585226
734,8585227
1085,8585228
576,8585229
451,8650760
601,8650761
611,8650762
783,8650763
1039,8650764
613,8650765
432,8716296
629,8716297
626,8716298
738,8716299
1039,8716300
706,8716301
432,8781832
648,8781833
642,8781834
745,8781835
992,8781836
712,8781837
463,8847368
645,8847369
774,8847370
792,8847371
907,8847372
790,8847373
467,8912904
632,8912905
922,8912906
752,8912907
880,8912908
785,8912909
490,8978440
605,8978441
811,8978442
735,8978443
811,8978444
723,8978445
501,9043976
587,9043977
763,9043978
758,9043979
686,9043980
721,9043981
503,9109512
647,9109513
815,9109514
720,9109515
692,9109516
684,9109517
533,9175048
760,9175049
722,9175050
601,9175051
765,9175052
649,9175053
512,9240584
707,9240585
738,9240586
536,9240587
723,9240588
652,9240589
503,9306120
712,9306121
685,9306122
574,9306123
601,9306124
664,9306125
512,9371656
715,9371657
550,9371658
586,9371659
580,9371660
626,9371661
522,9437192
628,9437193
548,9437194
565,9437195
655,9437196
616,9437197
676,9502729
528,9502730
530,9502731
718,9502732
648,9502733
806,9568265
545,9568266
562,9568267
736,9568268
608,9568269
1069,9633801
593,9633802
582,9633803
709,9633804
554,9633805
885,9699337
657,9699338
562,9699339
689,9699340
585,9699341
635,9764873
754,9764874
590,9764875
690,9764876
582,9764877
689,9830409
780,9830410
584,9830411
641,9830412
545,9830413
627,9895945
722,9895946
655,9895947
559,9895948
541,9895949
627,9961481
768,9961482
664,9961483
531,9961484
540,9961485
573,10027017
907,10027018
597,10027019
525,10027020
515,10027021
530,10092553
996,10092554
837,10092555
508,10092556
509,10092557
534,10158089
982,10158090
920,10158091
565,10158092
526,10158093
502,10223625
771,10223626
636,10223627
552,10223628
497,10223629
580,10289162
540,10289163
499,10289164
459,10289165
545,10354698
539,10354699
502,10354700
451,10354701
541,10420234
528,10420235
431,10420236
475,10420237
515,10485770
529,10485771
489,10485772
499,10485773
484,10551306
481,10551307
437,10551308
438,10616843
400,10616844
433,10682379
489,7405577
423,7405578
453,7471113
466,7471114
485,7536649
469,7536650
518,7602185
553,7602186
378,7602187
588,7667721
596,7667722
359,7667723
631,7733257
631,7733258
458,7733259
609,7798793
724,7798794
544,7798795
598,7864329
678,7864330
547,7864331
587,7929865
615,7929866
617,7929867
602,7929868
550,7995401
591,7995402
682,7995403
696,7995404
530,8060937
600,8060938
728,8060939
963,8060940
497,8126473
617,8126474
759,8126475
1103,8126476
518,8192009
615,8192010
724,8192011
1127,8192012
792,8257545
624,8257546
694,8257547
1171,8257548
904,8323081
631,8323082
727,8323083
1140,8323084
754,8388617
641,8388618
752,8388619
1125,8388620
496,8388621
701,8454153
604,8454154
747,8454155
1087,8454156
515,8454157
685,8519689
559,8519690
734,8519691
1091,8519692
545,8519693
446,8585224
635,8585225
615,8585226
738,8585227
1066,8585228
569,8585229
442,8650760
645,8650761
731,8650762
780,8650763
1027,8650764
647,8650765
452,8716296
645,8716297
738,8716298
747,8716299
1006,8716300
688,8716301
453,8781832
631,8781833
672,8781834
759,8781835
1000,8781836
703,8781837
489,8847368
646,8847369
798,8847370
809,8847371
915,8847372
744,8847373
488,8912904
612,8912905
989,8912906
807,8912907
872,8912908
702,8912909
509,8978440
571,8978441
877,8978442
823,8978443
865,8978444
678,8978445
515,9043976
554,9043977
815,9043978
797,9043979
807,9043980
687,9043981
534,9109512
690,9109513
821,9109514
702,9109515
861,9109516
691,9109517
561,9175048
767,9175049
745,9175050
557,9175051
778,9175052
661,9175053
546,9240584
665,9240585
751,9240586
561,9240587
629,9240588
668,9240589
536,9306120
652,9306121
642,9306122
610,9306123
586,9306124
675,9306125
520,9371656
625,9371657
544,9371658
573,9371659
570,9371660
644,9371661
523,9437192
600,9437193
538,9437194
573,9437195
569,9437196
626,9437197
524,9502728
643,9502729
501,9502730
538,9502731
569,9502732
635,9502733
488,9568264
657,9568265
490,9568266
559,9568267
627,9568268
617,9568269
488,9633800
865,9633801
586,9633802
555,9633803
650,9633804
581,9633805
921,9699337
654,9699338
548,9699339
655,9699340
595,9699341
763,9764873
686,9764874
574,9764875
661,9764876
575,9764877
712,9830409
736,9830410
538,9830411
592,9830412
566,9830413
687,9895945
670,9895946
637,9895947
536,9895948
554,9895949
711,9961481
674,9961482
685,9961483
507,9961484
545,9961485
641,10027017
835,10027018
596,10027019
514,10027020
530,10027021
589,10092553
932,10092554
795,10092555
527,10092556
526,10092557
561,10158089
984,10158090
920,10158091
533,10158092
522,10158093
520,10223625
981,10223626
688,10223627
550,10223628
512,10223629
546,10289161
761,10289162
576,10289163
497,10289164
464,10289165
580,10354698
558,10354699
481,10354700
449,10354701
540,10420234
535,10420235
454,10420236
485,10420237
528,10485770
533,10485771
466,10485772
468,10485773
513,10551306
499,10551307
458,10551308
485,10551309
485,10616842
471,10616843
404,10616844
447,10682379
469,10682380
489,7405577
436,7405578
444,7471113
482,7471114
482,7536649
508,7536650
561,7602185
608,7602186
439,7602187
608,7667721
659,7667722
363,7667723
652,7733257
689,7733258
435,7733259
604,7798793
683,7798794
537,7798795
608,7864329
638,7864330
547,7864331
625,7929865
599,7929866
597,7929867
553,7929868
610,7995401
608,7995402
655,7995403
640,7995404
597,8060937
641,8060938
694,8060939
817,8060940
552,8126473
624,8126474
747,8126475
1050,8126476
566,8192009
639,8192010
727,8192011
1094,8192012
788,8257545
636,8257546
699,8257547
1140,8257548
1036,8323081
634,8323082
765,8323083
1161,8323084
944,8388617
577,8388618
781,8388619
1134,8388620
485,8388621
448,8454152
856,8454153
572,8454154
749,8454155
1075,8454156
500,8454157
483,8519688
773,8519689
579,8519690
742,8519691
1070,8519692
524,8519693
455,8585224
665,8585225
615,8585226
743,8585227
1056,8585228
570,8585229
443,8650760
698,8650761
784,8650762
796,8650763
1006,8650764
611,8650765
452,8716296
675,8716297
812,8716298
763,8716299
995,8716300
603,8716301
468,8781832
658,8781833
740,8781834
712,8781835
1000,8781836
668,8781837
501,8847368
636,8847369
815,8847370
723,8847371
955,8847372
626,8847373
498,8912904
565,8912905
1019,8912906
767,8912907
941,8912908
606,8912909
532,8978440
526,8978441
1034,8978442
791,8978443
911,8978444
651,8978445
568,9043976
533,9043977
869,9043978
720,9043979
907,9043980
638,9043981
578,9109512
623,9109513
785,9109514
647,9109515
891,9109516
686,9109517
575,9175048
648,9175049
820,9175050
551,9175051
679,9175052
681,9175053
583,9240584
596,9240585
711,9240586
585,9240587
558,9240588
674,9240589
563,9306120
561,9306121
547,9306122
652,9306123
577,9306124
653,9306125
536,9371656
549,9371657
552,9371658
591,9371659
596,9371660
628,9371661
530,9437192
582,9437193
522,9437194
578,9437195
589,9437196
614,9437197
505,9502728
594,9502729
483,9502730
533,9502731
573,9502732
623,9502733
483,9568264
612,9568265
478,9568266
530,9568267
623,9568268
609,9568269
503,9633800
731,9633801
578,9633802
539,9633803
658,9633804
581,9633805
490,9699336
877,9699337
586,9699338
